,user,text
45,jimmyfallon,"The Tonight Show: At Home Edition (@itsgabrielleu, @NYGovCuomo, and music from @BradPaisley) https://t.co/P3Y37tbyLJ https://t.co/FGwq2sqx1U"
46,jimmyfallon,#ThankYouNurses #NursesDay2020 https://t.co/lZ4wcVE6Lg
47,jimmyfallon,Thank you all for voting!! We need our “boing boing” spring-y 010101 Webby!!!
48,jimmyfallon,@people True. She is everything. Thanks again for a great experience. I’m getting love from a lot of PEOPLE today.
49,jimmyfallon,FalPals unite! @FallonTonight has been nominated for FOUR #Webbys &amp; we need your help!! You can vote for us in all… https://t.co/RvayJAk4VT
50,jimmyfallon,Ohhhhh that was a memory. Long distance photo shoot and all. Thank you @People and everyone there who worked hard a… https://t.co/4ovsGA5kim
51,jimmyfallon,First Look: Nicolas Cage as Tiger King https://t.co/txrD84qWuL
52,jimmyfallon,"The Tonight Show: At Home Edition (@VancityReynolds, @karliekloss, and music from @arzE) https://t.co/FtS3J4hMRI https://t.co/aQGHXv3hel"
53,jimmyfallon,Watch NBC now!!!
54,jimmyfallon,https://t.co/StT02v3X1M
55,jimmyfallon,Sneak peek of Nic Cage’s Tiger King tonite!!!
56,jimmyfallon,"People don't come to see the tigers, they come to see me. 11:35 @FallonTonight https://t.co/iuFubFV4tI"
57,jimmyfallon,"A friend's mom asked, ""Have you seen that Netflix documentary, 'Lion King?'"" #QuarantineMomQuotes"
58,jimmyfallon,"It's time for Tonight Show: At Home Edition Hashtags! In honor of Mother's Day this Sunday, tell us something funny… https://t.co/BYMXsM87Q1"
59,jimmyfallon,Keep Calm and Listen to the Rolling Stones https://t.co/3SVYm7xyRI
60,jimmyfallon,"The Tonight Show: At Home Edition (@aplusk &amp; Mila Kunis, @evanrachelwood, and music from @AnnieLennox)… https://t.co/InAn4une9m"
61,jimmyfallon,"Hello everyone, today is #InternationalFirefightersDay. These men and women are real heroes. Please donate if you c… https://t.co/p5XcgBsDBi"
62,jimmyfallon,"If you get pregnant on Zoom, your “Zoom Baby” Zoom’s through life. But who’s the father? Like lots and lots of sand… https://t.co/GlF2vQifwS"
63,jimmyfallon,"The Tonight Show: At Home Edition (Jon Hamm, @BreneBrown, Will Ferrell, Kristen Wiig, Jake Gyllenhaal and music fro… https://t.co/DsFd4eCkEW"
64,jimmyfallon,You guys are gonna love the show tonight. #FallonTonight ❤️❤️❤️
65,jimmyfallon,3 x https://t.co/pxt0kFBKRg
66,jimmyfallon,Spoiler... https://t.co/DeH7DBndHG
67,jimmyfallon,Chapter 3 to the saga continues. Maybe a few more guest stars.... all new #FallonAtHome tonight!!! #NBC https://t.co/TrsxqGj6Qe
68,jimmyfallon,Haaaaa. I’m in!!! I haven’t sang it in years. See you tonight however. https://t.co/ocKHxJ9oyy
69,jimmyfallon,I’m happy to know my dog can access my iPad through Face ID. (Thanks @DrewBarrymore and @CameronDiaz) https://t.co/x9PdgqhqJj
70,jimmyfallon,One more week!! https://t.co/xSnUwjVq7s
71,jimmyfallon,"The Tonight Show: At Home Edition (Vince Vaughn, @GiGiHadid, and music from @maluma) https://t.co/9JhbsMDxiy https://t.co/t9vA7qsuLu"
72,jimmyfallon,"The Tonight Show: At Home Edition (@shailenewoodley, @maluma, and a brand new song from @thomyorke)… https://t.co/CPF5ZGyWUm"
73,jimmyfallon,I mean... I can’t thank you enough. A BRAND NEW UNHEARD SONG FROM THOM YORKE?!?! #FallonTonight https://t.co/fs0m8S8YOB
74,jimmyfallon,#AskTheFallons Episode 5 https://t.co/fHmyI8WFQP
